Název školy,Identifikační znak organizace,Resortní identifikátor právnické osoby,Zřizovatel,Typ třídy,Obor,Název oboru,Forma vzdělávání,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ,Webové stránky,Název okresu bydliště studenta,Kód okresu bydliště studenta dle číselníku ČSÚ,Název obce bydliště studenta,Kód obce bydliště studenta dle číselníku ČSÚ,Počty studentů s trvalým bydlištěm v dané obci dojíždějící do vyšší odborné školy,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,ID,x2,y2
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,6341M02,Obchodní akademie,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Nepolisy,570478,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2247,1713,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,6341M02,Obchodní akademie,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Sendražice,570796,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2252,1718,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,6341M02,Obchodní akademie,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Všestary,571091,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2258,1724,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,6341M02,Obchodní akademie,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jičín,CZ0522,Hořice,572926,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2264,1730,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,6341M02,Obchodní akademie,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Náchod,CZ0523,Broumov,573922,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2269,1735,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,6341M02,Obchodní akademie,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Náchod,CZ0523,Jaroměř,574121,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2272,1738,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,6341M02,Obchodní akademie,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Náchod,CZ0523,Nové Město nad Metují,574279,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2274,1740,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,6341M02,Obchodní akademie,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Rychnov nad Kněžnou,CZ0524,Vamberk,576883,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2297,1763,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,6341M02,Obchodní akademie,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Trutnov,579025,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2301,1767,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,6341M02,Obchodní akademie,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Vítězná,579815,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2309,1775,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,6341M02,Obchodní akademie,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,bydliště mimo území ČR,999999,bydliště mimo území ČR,999999,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2316,1782,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,6843M01,Veřejnosprávní činnost,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Černilov,569917,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2324,1790,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,6843M01,Veřejnosprávní činnost,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Dohalice,569976,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2327,1793,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,6843M01,Veřejnosprávní činnost,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Všestary,571091,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2342,1808,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,6843M01,Veřejnosprávní činnost,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jičín,CZ0522,Hořice,572926,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2346,1812,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,6843M01,Veřejnosprávní činnost,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Náchod,CZ0523,Nové Město nad Metují,574279,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2356,1822,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,6843M01,Veřejnosprávní činnost,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Pardubice,CZ0532,Lázně Bohdaneč,574767,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2359,1825,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,6843M01,Veřejnosprávní činnost,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Pardubice,CZ0532,Opatovice nad Labem,575429,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2362,1828,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,6843M01,Veřejnosprávní činnost,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Pardubice,CZ0532,Přelouč,575500,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2363,1829,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,6843M01,Veřejnosprávní činnost,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Rychnov nad Kněžnou,CZ0524,Dobruška,576271,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2366,1832,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,7541M01,Sociální činnost,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Lejšovka,570222,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2391,1857,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,7541M01,Sociální činnost,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Lhota pod Libčany,570231,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2392,1858,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,7541M01,Sociální činnost,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Nechanice,570451,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2394,1860,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,7541M01,Sociální činnost,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Nový Bydžov,570508,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2395,1861,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,7541M01,Sociální činnost,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Všestary,571091,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2403,1869,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,7541M01,Sociální činnost,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Rychnov nad Kněžnou,CZ0524,Častolovice,576182,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2426,1892,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,7541M01,Sociální činnost,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Rychnov nad Kněžnou,CZ0524,Javornice,576336,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2427,1893,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,7541M01,Sociální činnost,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Rychnov nad Kněžnou,CZ0524,Týniště nad Orlicí,576859,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2434,1900,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,7541M01,Sociální činnost,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Ústí nad Orlicí,CZ0534,Lanškroun,580511,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2442,1908,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,7842M02,Ekonomické lyceum,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hněvčeves,570010,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2456,1922,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,7842M02,Ekonomické lyceum,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Chlumec nad Cidlinou,570109,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2457,1923,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,7842M02,Ekonomické lyceum,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Všestary,571091,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2474,1940,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,7842M02,Ekonomické lyceum,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jičín,CZ0522,Nová Paka,573248,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2478,1944,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,7842M02,Ekonomické lyceum,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Náchod,CZ0523,Nové Město nad Metují,574279,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2485,1951,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,7842M02,Ekonomické lyceum,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Pardubice,CZ0532,Holice,574988,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2487,1953,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,7842M02,Ekonomické lyceum,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Pardubice,CZ0532,Opatovice nad Labem,575429,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2488,1954,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,7842M02,Ekonomické lyceum,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Trutnov,579025,2,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2503,1969,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední pedagogická škola, Vyšší odborná škola a |Jazyková škola s právem státní jazykové zkoušky, s.r.o.",44445288,600011798,privátní sektor,běžná třída,6341M02,Obchodní akademie,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Čistěves,569933,2,POINT(50.218477 15.855038),15.855038,50.218477,SPSS2511,1977,1764974.75666801,6484198.53274276
"Obchodní akademie, Střední pedagogická škola, Vyšší odborná škola a |Jazyková škola s právem státní jazykové zkoušky, s.r.o.",44445288,600011798,privátní sektor,běžná třída,6341M02,Obchodní akademie,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Roudnice,570745,2,POINT(50.218477 15.855038),15.855038,50.218477,SPSS2515,1981,1764974.75666801,6484198.53274276
"Obchodní akademie, Střední pedagogická škola, Vyšší odborná škola a |Jazyková škola s právem státní jazykové zkoušky, s.r.o.",44445288,600011798,privátní sektor,běžná třída,6341M02,Obchodní akademie,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Stěžery,570931,2,POINT(50.218477 15.855038),15.855038,50.218477,SPSS2517,1983,1764974.75666801,6484198.53274276
"Obchodní akademie, Střední pedagogická škola, Vyšší odborná škola a |Jazyková škola s právem státní jazykové zkoušky, s.r.o.",44445288,600011798,privátní sektor,běžná třída,7531M01,Předškolní a mimoškolní pedagogika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Pardubice,CZ0532,Pardubice II,555126,2,POINT(50.218477 15.855038),15.855038,50.218477,SPSS2546,2012,1764974.75666801,6484198.53274276
"Obchodní akademie, Střední pedagogická škola, Vyšší odborná škola a |Jazyková škola s právem státní jazykové zkoušky, s.r.o.",44445288,600011798,privátní sektor,běžná třída,7531M01,Předškolní a mimoškolní pedagogika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Lhota pod Libčany,570231,2,POINT(50.218477 15.855038),15.855038,50.218477,SPSS2553,2019,1764974.75666801,6484198.53274276
"Obchodní akademie, Střední pedagogická škola, Vyšší odborná škola a |Jazyková škola s právem státní jazykové zkoušky, s.r.o.",44445288,600011798,privátní sektor,běžná třída,7531M01,Předškolní a mimoškolní pedagogika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Smržov,570885,2,POINT(50.218477 15.855038),15.855038,50.218477,SPSS2560,2026,1764974.75666801,6484198.53274276
"Obchodní akademie, Střední pedagogická škola, Vyšší odborná škola a |Jazyková škola s právem státní jazykové zkoušky, s.r.o.",44445288,600011798,privátní sektor,běžná třída,7531M01,Předškolní a mimoškolní pedagogika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Výrava,571105,2,POINT(50.218477 15.855038),15.855038,50.218477,SPSS2565,2031,1764974.75666801,6484198.53274276
"Obchodní akademie, Střední pedagogická škola, Vyšší odborná škola a |Jazyková škola s právem státní jazykové zkoušky, s.r.o.",44445288,600011798,privátní sektor,běžná třída,7531M01,Předškolní a mimoškolní pedagogika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Náchod,CZ0523,Červený Kostelec,573965,2,POINT(50.218477 15.855038),15.855038,50.218477,SPSS2571,2037,1764974.75666801,6484198.53274276
"Obchodní akademie, Střední pedagogická škola, Vyšší odborná škola a |Jazyková škola s právem státní jazykové zkoušky, s.r.o.",44445288,600011798,privátní sektor,běžná třída,7531M01,Předškolní a mimoškolní pedagogika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Náchod,CZ0523,Jaroměř,574121,2,POINT(50.218477 15.855038),15.855038,50.218477,SPSS2573,2039,1764974.75666801,6484198.53274276
"Obchodní akademie, Střední pedagogická škola, Vyšší odborná škola a |Jazyková škola s právem státní jazykové zkoušky, s.r.o.",44445288,600011798,privátní sektor,běžná třída,7531M01,Předškolní a mimoškolní pedagogika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Pardubice,CZ0532,Borek,574783,2,POINT(50.218477 15.855038),15.855038,50.218477,SPSS2577,2043,1764974.75666801,6484198.53274276
"Obchodní akademie, Střední pedagogická škola, Vyšší odborná škola a |Jazyková škola s právem státní jazykové zkoušky, s.r.o.",44445288,600011798,privátní sektor,běžná třída,7531M01,Předškolní a mimoškolní pedagogika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Pardubice,CZ0532,Opatovice nad Labem,575429,2,POINT(50.218477 15.855038),15.855038,50.218477,SPSS2578,2044,1764974.75666801,6484198.53274276
"Obchodní akademie, Střední pedagogická škola, Vyšší odborná škola a |Jazyková škola s právem státní jazykové zkoušky, s.r.o.",44445288,600011798,privátní sektor,běžná třída,7531M01,Předškolní a mimoškolní pedagogika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Pardubice,CZ0532,Přelouč,575500,2,POINT(50.218477 15.855038),15.855038,50.218477,SPSS2579,2045,1764974.75666801,6484198.53274276
"Obchodní akademie, Střední pedagogická škola, Vyšší odborná škola a |Jazyková škola s právem státní jazykové zkoušky, s.r.o.",44445288,600011798,privátní sektor,běžná třída,7531M01,Předškolní a mimoškolní pedagogika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí,576361,2,POINT(50.218477 15.855038),15.855038,50.218477,SPSS2586,2052,1764974.75666801,6484198.53274276
